State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
OR,65,798,587-4687,no,no,0,1.3882068427051362,3,3.267458338023129,5.1498967043205175,1,2.7733560662478127,4.569233329729994,250,4.581652829581626,4.649672222685005,4,3.9594166297604207,8,True.
IN,11,737,303-3613,no,yes,100,11.841360630729527,3,8.587456433611283,8.548029355447436,2,7.980915781374812,3.701820323578376,200,6.85134073453356,2.9355908765657643,6,5.121201330989638,6,True.
KS,155,758,478-8927,yes,no,0,6.772509808783411,3,5.735661220674222,5.957997880837814,2,4.61053302127319,2.17392599719367,250,7.407836096687319,7.23307362254212,8,1.1890636079357733,6,True.
NJ,122,787,127-9955,no,yes,300,7.733439617988402,2,6.148242109607134,7.667184067232554,0,6.412598620950347,2.3519298176147387,200,5.856698078706616,6.041395915638569,6,5.100233356113833,7,True.
SD,16,836,482-7936,yes,yes,0,8.894723879255203,2,7.253880100413912,6.235676368371722,0,6.737095332879289,1.396702420007426,200,8.535115403650561,4.885356454751827,4,0.8255662830151156,9,True.
WA,17,876,481-5855,yes,yes,400,6.360359555738938,1,4.222805745551504,6.2907476127646005,2,7.676896997822088,2.9187185578742474,200,5.323207901237676,2.381423400963551,3,7.447010253212404,6,True.
VT,28,868,211-1292,no,yes,400,6.5845702375481405,5,4.28500088892479,3.884875651086933,4,4.632803082827221,5.4465402874086575,100,7.323964843652144,6.115681593055539,6,0.9602384378161162,6,True.
AZ,99,659,309-9469,yes,yes,600,5.458250352716795,8,5.087269597811932,3.485274798505681,6,3.7310706485019542,5.447250812368365,50,5.826075503351825,5.273625487482792,7,1.074692668663646,6,True.
TN,141,847,306-7782,no,no,0,0.7984210683954549,4,0.0812320223075886,4.701257540083379,3,4.996490164184191,3.258963797912081,200,6.408229751176063,5.175439541697499,0,4.359910753712856,10,True.
DE,77,686,379-8042,yes,yes,700,3.93776429110237,1,3.007693164893767,6.643310477288091,3,5.390259888860314,2.592514002647817,200,3.8853935598241662,4.646938749216835,7,7.640623436810012,5,True.
MT,162,778,139-7025,yes,no,0,16.164527149647874,4,9.548727443712323,11.038385332281749,1,10.64087821227942,3.622965532567009,200,6.8698289972996935,4.338718644399108,8,8.966202356492593,2,True.
LA,145,766,310-3267,no,no,0,8.05388123748296,4,7.657426687679126,4.025921884452133,6,6.463595607175527,5.838149674650571,100,4.7951475699973045,4.89829921947485,4,5.442625475834109,4,True.
CO,184,677,847-8044,yes,no,0,4.8156577747635625,6,7.038286643064635,4.023688420999052,5,3.821775146769578,2.793253293421313,100,6.012421468158703,4.645549205219094,5,0.7257744558515791,9,True.
NV,115,788,968-8141,yes,yes,200,13.913852217434371,4,8.261744640062082,8.14095294558872,5,8.659118053501171,7.209096451938203,100,4.916776908499179,6.177277276386503,9,7.904598377308169,1,True.
NH,128,787,819-6374,no,no,0,8.551980268605405,2,8.797374105605076,5.770359205714335,4,6.130057316668824,2.412463355667482,250,7.298750291320001,4.156908608466851,4,2.7096361443455894,7,True.
UT,139,858,119-8574,no,no,0,2.177981438378995,4,4.055641250170243,3.494881741428073,3,3.482117776815937,2.47804062226138,250,7.396464118373256,4.7300290416847695,2,0.0777205222728012,9,True.
OH,101,797,511-3139,yes,no,0,5.1586710814992935,4,4.005653631695402,8.968462735068082,0,5.0279865365351855,3.303456180724086,300,5.182965277569503,4.832303564943525,6,6.359152890322694,6,True.
NE,194,786,863-5301,no,yes,800,0.8069346301198381,2,2.868106098070454,3.700894970038908,3,2.575611922460231,6.249912338825782,250,1.5504550144261486,5.560650220019188,3,9.065667877764923,4,True.
ND,185,786,701-7247,yes,no,0,7.221523846715902,3,7.251155728776238,5.890231997413935,3,5.967928632742463,3.0731126102349533,200,5.400370198775539,5.9290894085948525,5,6.040905932551793,4,True.
NC,186,786,895-4961,no,no,0,8.49760146010752,3,4.935967747379696,6.544500332351285,0,5.757508760661467,4.708564662924215,150,6.64591727804847,5.828908048780817,8,2.707055937105113,6,True.
NM,16,787,508-6053,no,yes,500,7.6263721613225535,6,4.488566630941922,7.562413822536207,1,6.45133916171976,4.823156608563891,200,6.601104150586082,5.04663472196354,4,5.413922328949317,6,True.
NY,130,788,661-2194,no,yes,300,7.139032640456509,2,6.006000618424785,7.736329721312401,1,6.944483454439357,1.7920597585041431,250,5.4676430349657625,3.548193985806296,5,5.88149484567745,7,True.
CT,192,678,886-3965,no,no,0,7.438292036176408,4,6.797121753888861,6.77106526157334,3,5.868155258395981,3.657597582024082,200,6.379129364977013,4.53739059143602,4,4.517111183683878,7,True.
CO,102,677,173-6193,yes,yes,400,11.195590662697802,4,6.476412723297691,9.332969900573584,0,9.71920037949189,3.955757953697897,200,4.705151272471007,4.969161590391425,6,11.362919554180866,2,True.
ME,164,776,116-9885,yes,yes,500,2.6581031758896394,7,2.346449427722855,5.4648060964561695,1,3.835090765551169,4.71010973273469,150,5.883114883861692,4.38136160872976,3,2.9267418331854405,9,True.
MA,111,776,922-5144,yes,no,0,7.459197164048791,4,4.6439703216007535,6.049635481224703,1,5.877832233728859,5.385706654286158,150,5.307495879544399,5.091805038086463,7,5.421742899445171,4,True.
MD,111,776,555-9027,yes,no,0,12.070282964717563,2,6.1981876486616505,7.029924636600974,2,10.425780371234634,2.863348802304841,150,6.061534986587477,4.410143685550434,7,8.607374369611803,3,True.
MT,61,778,619-8308,yes,yes,500,7.152763964985098,3,3.634100812967679,5.575918707666626,1,6.5617146994774656,4.161377768813495,100,6.127925075183639,4.679882376031302,6,4.6434343082519245,6,True.
RI,96,827,827-9630,no,yes,200,4.464125534241964,1,7.194442301521571,3.5881900437946683,6,3.489158250451489,5.283480978214589,200,4.462955196984521,4.04821099245228,4,4.312837672040458,5,True.
MO,63,777,904-8683,no,yes,300,4.692331908407489,3,6.847306173458641,6.184706703259793,5,3.102666529314924,2.970647887772602,250,5.232997258328589,4.495206333435991,7,2.3948760771715194,6,True.
CT,161,678,218-5455,no,yes,300,5.363083373544057,4,6.135781206171882,4.248616033556125,5,5.080227456534255,5.35333961974425,150,4.948798295672082,4.059696477675312,3,4.669087210647511,6,True.
WV,72,878,679-2632,yes,no,0,7.05229953811126,3,8.249997635373926,3.01779338836234,7,4.559330485154955,4.192571814089393,150,6.966350993286566,4.059091955073728,4,0.1697543852455831,8,True.
WA,64,876,634-3037,no,yes,200,10.748675511007344,4,8.93240432932919,9.22201412147604,2,7.863839037105666,3.1491241395945284,200,5.525792753369055,5.741791286805944,5,7.96183639560877,5,True.
ID,132,736,915-5003,no,no,0,7.485352192595071,2,7.272704195761851,4.995654236632177,5,5.636037797326289,5.156831187009898,200,4.532943918318724,5.157230466430411,6,5.376341582155084,4,True.
AZ,200,659,149-6759,no,yes,700,6.934717050775587,4,3.316456755651488,4.196134205820709,1,6.151948054556912,4.142167581737291,100,5.873022319123157,5.670477627810085,8,3.4773946800802165,5,True.
HI,195,727,893-6078,yes,no,0,2.550254741337014,3,6.12759464727946,4.533899905365231,6,2.529182486365057,4.489909595055147,200,4.38086789402254,4.035918674491413,4,2.8189133617173057,7,True.
NM,71,787,640-9757,no,no,0,8.174226885470187,7,7.253308876468194,5.125211454247973,8,5.818240202048665,7.369247877756895,50,3.273889547133453,6.305790989865819,6,8.089319586357682,2,True.
IA,28,736,444-1522,yes,no,0,10.688448327857309,2,10.147592889511916,7.496114385593081,5,6.012338876267409,3.477918195350895,250,7.02197206084208,5.408548838114798,5,3.2862512843590794,6,True.
NV,11,788,309-8917,yes,no,0,8.652643839367661,4,6.890463611240193,5.912721361331088,5,5.453686007307439,5.030123730323028,200,6.629340317707278,4.692480121209351,6,3.2453995506854767,5,True.
MI,71,777,621-6368,yes,yes,400,8.676440755514282,3,8.117695077948737,7.062247914570984,3,6.826327079000141,2.4377841605075927,250,5.551759971118572,4.252675228219886,6,6.1048510879926585,4,True.
NY,186,788,399-7765,no,no,0,7.1464877837332015,3,7.181460385780275,4.765937021561816,4,5.86944575207926,4.873067245495627,100,3.829029741257514,5.196995134781616,6,7.210667676964146,3,True.
IA,200,736,578-3568,no,yes,200,6.962684568814881,4,5.807841295274675,5.735285623178492,1,6.120774170502035,3.337216994811174,100,6.37292598347486,3.0427376662108383,4,4.227497855591296,7,True.
AL,55,657,497-3827,no,no,0,5.97357498477678,3,2.987699718849293,5.727713112482883,1,6.368375520785963,5.990295085911363,100,4.001405752455045,3.5288653982320057,5,8.223914829907848,4,True.
OH,60,797,692-9040,yes,yes,300,8.493586086274219,4,6.022242126393703,5.5034506057603485,4,5.148975841064097,5.23668083747841,150,7.328283244701378,3.355720201348224,6,2.43660772140058,5,True.
LA,130,766,265-6381,yes,yes,100,12.36172129045672,3,9.64285208080816,8.378918503115603,5,7.3187932238927935,4.337482852852177,200,5.585965385084441,6.031504237178594,8,5.818382593667602,3,True.
OR,29,798,585-2154,yes,no,0,3.737017998864118,4,2.721881205088001,4.539156075307599,0,6.157152145880959,4.554218630119007,150,4.812298642660652,4.605954541563873,2,7.544243553475002,6,True.
KY,28,758,875-1543,yes,yes,300,2.867583428399109,4,6.309803670103641,4.714814178653956,4,4.007826637077911,2.9608790753136134,200,5.141484782888216,6.157526681568763,1,4.148929123881741,8,True.
IL,37,737,963-6764,no,yes,400,3.640413208090592,3,4.493375355775129,5.319562902840599,2,5.325780926642445,5.088744104241927,200,4.017194739058038,4.479209074405861,2,7.598772911273299,6,True.
OK,197,797,718-4827,no,yes,200,8.291334049741291,5,7.584510705787296,5.349617432414473,6,4.976647202550829,3.7088731755716617,150,6.552639584017756,3.882826099799243,8,0.9239016298346848,6,True.
FL,122,707,703-5379,yes,yes,300,7.548592091199004,3,6.513235985048784,10.04717023755076,0,5.466567674506024,1.8326598739901487,300,6.185463382950364,4.491643250888466,6,5.245761917359481,7,True.
OH,33,797,829-9070,yes,yes,400,4.369300720301998,4,5.789806358860974,6.339764198303198,3,3.6278659544205474,2.459276250950282,300,6.260551435187651,6.579722940343928,6,1.5033718979872197,8,True.
ND,149,786,545-7460,no,yes,400,4.6998736857852,6,3.3424433241155254,5.563302633769242,2,4.968125861639746,4.120077040557439,200,6.726216300277324,6.6151826477573765,4,2.5573452343831424,7,True.
IN,33,737,740-2610,no,yes,300,8.302520040690593,3,6.509791808451869,5.443756903187849,2,6.362503188620206,3.9922382382564656,150,5.002614554652508,5.356695089888201,7,5.533526804602525,3,True.
SD,143,836,907-9233,no,no,0,7.411636577452363,3,5.302731213895161,2.6009901682029213,2,5.970321269902226,4.979757053009465,50,6.086889886254117,5.287626557620759,6,2.7958318824480126,6,True.
AK,173,657,712-7402,yes,yes,500,8.433220593153324,4,4.790670167915041,5.40837735050707,1,8.268110693461395,3.4459731928469326,100,6.413747786503537,6.0234812445943975,4,6.149859935263383,6,True.
WV,69,878,829-5503,yes,no,0,11.642097908008006,4,8.707582384349326,6.604178144533495,4,7.758351252501381,3.1214861941228094,200,8.540240726990124,6.844354410392775,5,2.9762690040322464,5,True.
MI,51,777,148-6537,yes,no,0,1.7199331592866076,2,3.2914960847103942,5.45976018282909,0,2.9581647215603377,3.3511691989018466,300,5.604854048413053,3.894731022973209,4,2.589439002018124,9,True.
ID,70,736,546-2760,no,yes,400,2.92249249189642,4,3.775697846828411,5.72778609146583,0,3.943821752568311,2.6987849453774144,150,5.9251844404646965,3.7216081564883448,3,2.8795176516503096,10,True.
MN,81,777,981-4448,yes,no,0,6.636607431046802,3,6.608055147789809,5.243057753931001,5,5.658293368676586,4.890138215680539,250,5.406716499450039,4.929006120121176,4,5.058157459763391,4,True.
MA,50,776,101-5898,yes,yes,300,4.514257836385965,1,6.012638396197756,6.23907992320392,4,3.6269926554775096,4.624843316966201,300,4.402403355847454,5.816415593426597,6,4.812959130391665,5,True.
NE,190,786,864-8736,yes,no,0,7.978756544322222,5,5.077295022336905,7.713048987677382,1,5.736923032817225,3.8642831615408313,200,6.516437650810548,8.181336401997168,8,3.6598000252849454,6,True.
AL,70,657,537-5769,no,yes,200,7.723737789704931,1,6.606344276534566,4.84110913323919,3,5.478606877909677,3.021996544362845,250,7.608346337581471,5.721623183729791,6,1.0485382794619975,6,True.
HI,168,727,610-5308,yes,yes,500,7.554733897430401,1,3.663240487942429,7.861126203339583,1,6.641600637496211,5.427138548560088,250,4.333306066026061,4.452764312154296,8,8.227664285145103,3,True.
IL,23,737,604-1087,yes,no,0,9.414111222651124,6,5.307667483882054,4.8238819975276,5,6.392185514733942,7.14473733830263,100,5.972357471734312,6.575749352173486,7,4.428299979245333,3,True.
AZ,66,659,909-6300,no,no,0,6.097189141914393,5,5.562325171941994,6.747474003811863,3,5.051785232252616,4.260622727832912,200,5.611721081242464,2.724138413408512,5,4.9463435480477855,6,True.
MO,117,777,452-9005,yes,no,0,2.367564141308876,2,1.0943733045756243,4.257391849741602,1,4.926384071284707,5.255974690216483,200,4.145007502706917,4.717166696224303,4,6.270362734537201,6,True.
AL,1,657,275-8908,yes,no,0,9.845119337023675,7,6.646835270160231,4.971119802525468,5,7.525972793077168,4.627655467288943,100,7.458579987934287,4.018291245271584,4,3.9806459304653674,5,True.
ID,85,736,881-6089,yes,no,0,6.897248574452075,1,6.13979634285411,8.543469553217712,1,7.541705436448044,2.8609203054039085,300,4.053905132320063,6.604784885866916,3,10.615250847907538,4,True.
NH,73,787,781-1868,yes,no,0,9.82127446288436,3,5.745592922988709,7.047270981263163,0,7.819661358529626,3.318162845211152,200,6.25377993318573,4.487130612610442,8,5.246547572478567,5,True.
NE,28,786,557-5760,yes,yes,200,6.515365198284751,0,6.999048509902218,5.605170925654516,2,4.625671028066069,2.7997281074071028,250,6.778626062707601,5.044898492410157,5,2.770956130812438,7,True.
MS,81,778,352-9450,no,no,0,0.7079624140315,5,4.500549518123207,5.157414953130496,5,0.7552867666560203,2.951668924059085,250,5.41296040803596,4.600109522947848,6,0.3430886855284818,8,True.
DC,181,686,232-5858,yes,no,0,3.939146994777389,4,4.155323695751649,5.371681091090445,3,5.047818272190074,6.323743735965607,200,3.230662273548512,4.120415322650389,3,8.915922795687312,3,True.
SD,96,836,785-9814,yes,yes,500,9.70339217660571,6,5.293011302695399,4.376940115466861,3,7.19831228581628,4.7190810918989765,50,6.430316581701812,5.3151498329080304,8,3.618487128718405,3,True.
NH,189,787,112-9069,no,no,0,2.6933186470837525,5,2.1031288818539644,3.53342275739917,0,5.028513356863527,3.979975949195048,100,5.629011384568773,5.296856620898694,3,3.7848046910012942,8,True.
NV,77,788,563-9466,no,no,0,12.727617843970393,3,10.82728599294293,10.36085745306566,5,7.141514230060489,3.018006515056699,300,7.422584077954405,6.335044313944146,6,4.387986878652151,5,True.
CT,13,678,970-6722,yes,no,0,9.425316562973313,3,6.453132826444781,5.568698471707322,1,6.900964080931535,4.024949634896204,100,7.746184921475755,3.994961940679565,4,2.724791071046308,7,True.
HI,189,727,735-8783,yes,no,0,9.67399053928987,3,9.07065772162181,5.990933988601405,5,7.481242535933963,4.393939474685607,200,4.503383909414432,4.501256114996275,5,7.142873122192785,3,True.
TN,91,847,920-1671,no,no,0,4.111910110767663,5,2.5685088688636357,4.094184471630622,2,5.583146253433112,6.630804048833584,100,3.3273906825770965,6.669363001732771,5,8.622927838947183,3,True.
KS,127,758,875-8067,yes,yes,100,4.936292305221129,1,6.974303205733348,4.116666844149232,2,4.207685341129965,1.453178909780509,200,7.308616735878095,4.330882475778417,4,0.1613171004903062,10,True.
HI,51,727,769-5851,no,no,0,3.1133245412579904,4,4.761464973404896,6.257925198259184,3,2.6466761919728223,4.803186417248693,250,4.572702736831005,3.4294406184813555,5,4.342407698138459,6,True.
IN,164,737,673-5370,yes,yes,200,3.160119158357775,0,7.145047242579345,6.505011905924848,6,2.615385011327743,5.189198108445201,350,3.901285321127796,5.9892555320429945,3,5.36005357247913,6,True.
OH,80,797,702-4011,no,no,0,10.428334064472915,3,6.923461804507952,9.03230068096212,0,7.680592294818736,2.9777824108273503,250,7.18623582002205,6.743829456827683,5,5.579420713498371,5,True.
DC,185,686,904-5571,no,no,0,8.346056010204899,4,7.597012965172659,6.901121065487064,6,4.8580950648011285,5.536526509847175,150,5.387155849120367,5.272842154734382,6,5.183751473403109,4,True.
DE,67,686,897-3972,yes,yes,300,13.358312108660929,4,6.550112954488244,7.81216008586679,1,9.965127903595432,4.102268489162111,0,5.432281860078744,6.0132593365527285,8,9.279650948232527,2,True.
ME,87,776,551-9744,no,no,0,7.643688877794399,2,8.122982053465648,4.897830682472742,5,5.100518224470909,4.2237656130097285,200,6.47511178680884,3.886299210904364,4,2.6881219934847858,6,True.
KS,70,758,128-7951,no,no,0,1.5879680081308414,5,3.1579813431809534,5.739761315196704,5,1.8917322853597425,6.7567661050916366,250,4.260949491219193,1.9222736559156348,4,4.590041206842251,6,True.
ID,190,736,401-1229,no,no,0,8.7247329838486,3,5.831354142525583,5.96691003033606,0,7.65539801269566,3.3335471666270413,150,6.083853074475129,5.063433052142923,5,6.042041362972928,5,True.
NC,69,786,117-5524,no,no,0,8.562779376807887,2,6.337638637887471,5.822254041242118,0,7.424189842461298,3.146714325801533,200,6.55021554679039,4.393315466849666,4,5.172242236005804,6,True.
SD,98,836,548-8539,no,no,0,9.55099045994437,3,7.9216458003611665,5.468413422453654,5,6.336644747044844,5.521077376627537,100,4.345415456666534,4.377045098045069,7,7.178578389950317,2,True.
UT,46,858,950-3250,yes,yes,500,5.636647853647772,6,3.998777164948768,5.336902822584897,3,4.8934908200619605,5.175798518996826,150,6.023743068089081,3.271457304139377,6,3.037033844932549,6,True.
WV,55,878,187-9281,yes,no,0,7.224696879605538,4,5.972490721497733,7.960938647043599,4,3.513786139791056,4.503593442299778,250,6.2731116221943735,2.9548180914015605,9,1.7800903891132358,5,True.
HI,5,727,248-6549,yes,yes,300,8.051443633335726,5,5.0540600915480285,3.957658559253249,1,5.543572486485518,3.282980137578772,50,8.529043285265182,4.612596232005259,7,1.374970433481268,9,True.
MD,123,776,820-7552,no,no,0,12.573985967824717,4,8.211248038443784,5.906786020620009,2,8.598586462710859,3.7351202346565264,100,6.165352586671029,7.062127007007538,9,6.738276552024029,1,True.
WI,84,877,927-8872,no,no,0,7.91953953530074,3,7.588969655296259,5.673053285002254,4,6.73367794396566,3.406547214291164,250,6.851045791641381,5.589244181707031,2,3.925358106919124,6,True.
CO,4,677,160-4133,no,no,0,8.732553712799378,5,4.320668223330294,4.591960753015901,1,7.99488388498068,1.271403986472322,50,8.763778914298188,5.722909050007537,6,1.5569113205805785,7,True.
IA,56,736,284-8651,no,yes,500,3.5725676078012687,4,4.344947575312978,2.210360992327343,2,4.032557768156073,4.056482884353184,50,5.615131170294188,5.80421473956308,4,2.0552910723636693,8,True.
RI,184,827,338-1701,yes,no,0,5.864078014314744,4,5.898519910516636,5.138028842053155,3,4.893845272828406,3.782471784920965,250,6.443398323218279,3.991450609108868,5,2.437790175361485,7,True.
OR,109,798,258-5708,yes,yes,300,9.282118531759718,2,5.35378133484404,9.359872668601408,0,7.073133802672008,3.755421328063618,300,6.56247930329662,4.717321164722332,6,6.343562255462227,5,True.
IL,147,737,705-3252,yes,no,0,11.871632082892416,6,6.522565862741946,5.045159586128815,3,9.288043172328008,5.771168360860684,0,6.139118219241394,5.56615630633739,6,7.428866143781159,2,True.
WY,126,878,899-7692,no,yes,300,10.1184617115654,5,6.100964039040446,5.766940355315938,4,7.816661991627752,6.731226262741139,100,5.81512982889871,5.128888841284077,5,6.866799647882093,3,True.
RI,58,827,553-8816,yes,yes,400,6.156558522340399,2,5.996005599656051,7.132584895289248,0,5.503502643224666,2.676410155541753,250,4.871117334918864,6.0247804068518604,6,5.417854930305008,7,True.
MO,138,777,283-3923,yes,no,0,8.630526409610502,4,6.630544358827481,5.419222194274839,5,4.976856187329251,4.933417522199097,150,5.925724546752899,6.424377758942442,9,3.1787864210821235,3,True.
MN,49,777,360-7812,no,yes,400,6.12846301060892,4,3.726848563243837,6.110024837545257,1,5.763402216886803,2.9501878178144185,150,7.1358668120742905,4.843296372569044,5,2.7141978240938958,8,True.
OK,38,797,419-6792,no,yes,400,8.129677684972226,3,3.9860003296610302,7.0226662550719485,1,6.968928706150395,2.577505213252639,200,7.763305679734297,4.918242480966282,6,3.047258367626786,7,True.
UT,4,858,391-7310,yes,yes,400,0.9955386642318144,2,5.686114527162977,5.606171781277348,3,3.231837995423105,2.6850768195089234,300,3.7138210608670743,2.6629017685837324,2,5.382228644002182,8,True.
AK,56,657,984-6192,yes,yes,400,8.66540285419406,2,6.328037967228844,4.878857382557083,3,7.593891972213793,6.778797072640646,100,3.5535131749312474,5.396153123991815,4,10.073216677096603,2,True.
OR,50,798,708-8021,yes,yes,500,6.923439599536897,3,6.504769239285163,4.10142245880315,6,5.958543148968273,6.658641270614535,200,4.328648012198293,6.203232781926264,4,7.45813088622168,2,True.
MD,91,776,731-7502,no,yes,200,6.350131743438868,3,5.810624386940094,6.438147158873385,5,3.4978440480942266,4.745944987775974,250,6.939173269633491,4.982652629542982,7,0.8693607799228067,6,True.
MN,21,777,938-2929,no,no,0,5.413856230787308,5,4.447461877471313,7.867547580019539,2,4.927064487084797,3.8568988609368353,250,6.12125316739386,5.025727221508662,4,3.96275633578288,7,True.
AL,169,657,869-5925,yes,no,0,8.583950590073052,3,7.3803879676936015,7.118482145046679,3,7.0769665171884615,4.62697795453237,250,4.751222276476848,3.241587057021381,4,8.215857544681977,3,True.
ME,109,776,546-1234,no,no,0,10.236421358012006,3,6.845667073290446,6.707977301464928,2,7.059758495459947,4.362131532687386,200,6.658893409454409,4.974241894294731,7,5.002691443049225,4,True.
DE,183,686,661-8411,yes,yes,700,4.727041050984889,5,2.631786461327875,6.781581966758517,2,5.641327085581761,3.412401615906858,150,4.943105735597047,5.003600375806937,6,5.751670941278118,7,True.
NY,89,788,299-6859,yes,yes,500,1.0586962991510718,1,4.382340752774507,4.53223230419098,0,2.781796984952793,1.168561230615622,250,4.819463489587791,3.969523769635371,5,2.285212720215557,9,True.
WV,56,878,568-6767,no,yes,500,9.102925780032525,6,5.231435298987745,3.252032074826919,4,8.301206074085162,6.33891127081351,0,5.240078362882802,4.122007679626403,5,6.773718821565233,3,True.
HI,156,727,873-5322,yes,no,0,7.054590664367868,8,5.247415015285194,6.120006804126708,6,4.683427784077385,7.148015834245875,50,4.824779208531348,4.591335349685284,6,4.501241061466737,5,True.
DC,186,686,175-6373,yes,no,0,4.3354586106374615,4,5.16860957660414,6.139365840621347,2,3.1414338858708453,2.331157943395466,250,7.239787452066311,2.6863463418910487,6,0.4451438675276495,9,True.
TX,137,848,116-6769,no,no,0,10.23660003472638,5,6.107456460037708,4.993494441853418,0,8.201835719590186,1.8185449579429664,50,8.350655558754955,5.047126942625987,6,1.926398642416654,7,True.
CA,12,676,879-5506,yes,no,0,4.476763070498271,2,5.792851888498009,5.70442322603503,1,5.333794236363134,3.725005397522815,200,4.666903773147802,3.5168712819685277,2,6.763489986838679,7,True.
MD,142,776,627-6032,yes,no,0,9.971918763668569,3,9.107337880806018,6.800819942919363,3,7.2164714625237725,1.9661746103745883,250,6.947061730244255,5.076136608190295,5,3.951982334149003,6,True.
WV,73,878,884-8662,yes,no,0,11.429972485965504,4,5.973190183590446,6.809082708345286,1,9.468773605448416,5.70249730060947,100,4.936294818934815,4.031416492501627,6,10.17882001572541,1,True.
HI,80,727,747-8714,yes,no,0,11.628073725006928,4,7.425398454182712,8.232315068381933,1,8.178169141300192,4.243435362344163,150,6.109707814851905,5.391380467376371,7,7.515194443541946,4,True.
CT,56,678,353-9117,yes,no,0,7.526801822893974,7,4.719494868820079,4.446453733706248,5,5.3240142697292585,6.089019282974116,100,7.711873720301768,6.714352695000029,5,1.3222803871867312,6,True.
NV,113,788,508-1546,yes,no,0,13.240152958979756,4,7.478617026863802,6.855899481149788,1,10.331809302997488,4.484687661058418,100,6.0486800570030885,3.566774807315644,6,9.088547086922336,2,True.
IA,156,736,924-1409,no,yes,400,5.570861030272893,5,4.638258351471527,6.210256626271432,2,5.55270697024956,4.672340556139984,200,5.740170413440692,6.6959760257523815,3,5.218498667072944,6,True.
GA,39,716,958-6398,yes,yes,400,7.491851028029268,2,5.9768534267102185,4.417047648216217,2,5.64745869607209,4.93828617230416,100,5.457828667527555,6.009963955057657,6,4.505952243690021,5,True.
VT,169,868,807-4303,no,no,0,12.976523668200706,1,8.059439393119881,10.009379670800389,3,9.5597122778801,1.4015441330744438,250,6.900947183966827,5.093026164835629,7,7.294208779539213,5,True.
MT,99,778,765-5384,yes,no,0,6.635147110749546,3,8.943479299405428,6.183210507793924,4,4.272425848312702,0.9720952119419036,200,6.611664837397531,4.702606880175548,5,1.2211166213187798,8,True.
PA,178,806,953-5240,no,no,0,4.162387470947743,2,4.95623740685539,5.826167252481342,1,4.961178422678556,4.924058753160998,200,2.7295132244228366,4.34906620138036,5,8.862414117176833,4,True.
MT,108,778,583-7267,no,yes,200,5.5852912124504215,3,7.219018124763584,4.30202834138815,3,4.439313524221968,1.6312358277174095,200,7.262566327032262,6.04755364079841,4,0.144400794241239,9,True.
